"gender","current_rank","player_id","player_name","country","sheet_base_points","point_rows","active_rows","expired_rows","singles_rows","doubles_rows","counting_singles","counting_doubles","missing_drop_date_rows","bad_ranking_point_rows","status","notes","points_breakdown_url"
"Girls","30","polina-skliar","Polina Skliar","UKR","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/polina-skliar/800667265/ukr/jt/s/itf-points-breakdown/"
"Girls","31","welles-newman","Welles Newman","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/welles-newman/800705703/usa/jt/s/itf-points-breakdown/"
"Girls","32","rada-zolotareva","Rada Zolotareva","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/rada-zolotareva/800587900/rus/jt/s/itf-points-breakdown/"
"Girls","33","anastasia-lizunova","Anastasia Lizunova","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/anastasia-lizunova/800589857/rus/jt/s/itf-points-breakdown/"
"Girls","34","ruien-zhang","Ruien Zhang","CHN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/ruien-zhang/800631529/chn/jt/s/itf-points-breakdown/"
"Girls","35","renee-alame","Renee Alame","AUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/renee-alame/800701055/aus/jt/s/itf-points-breakdown/"
"Girls","36","sofie-hettlerova","Sofie Hettlerova","CZE","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/sofie-hettlerova/800604444/cze/jt/s/itf-points-breakdown/"
"Girls","37","denisa-zoldakova","Denisa Zoldakova","CZE","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/denisa-zoldakova/800638346/cze/jt/s/itf-points-breakdown/"
"Girls","38","maia-ilinca-burcescu","Maia Ilinca Burcescu","ROU","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/maia-ilinca-burcescu/800636281/rou/jt/s/itf-points-breakdown/"
"Girls","39","yihan-qu","Yihan Qu","CHN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/yihan-qu/800726989/chn/jt/s/itf-points-breakdown/"
"Girls","40","yu-jun-lin","Yu Jun Lin","CHN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/yu-jun-lin/800739107/chn/jt/s/itf-points-breakdown/"
"Girls","41","nadia-lagaev","Nadia Lagaev","CAN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/nadia-lagaev/800638930/can/jt/s/itf-points-breakdown/"
"Girls","42","antonina-sushkova","Antonina Sushkova","UKR","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/antonina-sushkova/800597362/ukr/jt/s/itf-points-breakdown/"
"Girls","43","adelina-lacinova","Adelina Lacinova","LAT","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/adelina-lacinova/800592997/lat/jt/s/itf-points-breakdown/"
"Girls","44","ha-eum-lee","Ha Eum Lee","KOR","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/ha-eum-lee/800586389/kor/jt/s/itf-points-breakdown/"
